iter	MultiClass
0	1.038899768
1	0.9915548939
2	0.9525024073
3	0.9198794487
4	0.8933686306
5	0.870358266
6	0.8497654945
7	0.832180623
8	0.8151451306
9	0.8010262619
10	0.7898900428
11	0.7781458001
12	0.7686747222
13	0.7587177993
14	0.750168352
15	0.7425888473
16	0.7363531964
117	0.7395268219118	0.7344531621119	0.7277195984220	0.7210776158221	0.7174290138222	0.7117918756223	0.7079416589
24	0.7030696382
25	0.7010877906
26	0.697221983
27	0.6940244784
28	0.6898731573
29	0.6869028122330	0.6840287211331	0.6814558351332	0.6798759315333	0.6783170603334	0.6764495785335	0.672736754
36	0.669878422
37	0.6676771207
38	0.665969176
39	0.6637774232
40	0.6622172561
41	0.659737
42	0.6578163886
43	0.6558226634
44	0.6540286771
45	0.6522070012
46	0.6507155337
47	0.649102058
48	0.6473976423
49	0.6458810575
50	0.6445989134
51	0.651	0.6442352	0.652	0.6423553	0.653	0.6412854	0.654	0.6391755	0.655	0.6380156	0.656	0.6367457	0.657	0.6352458	0.658	0.6334059	0.659	0.6323160	0.660	0.6317961	0.661	0.6297962	0.6299712188
63	0.6284757854
64	0.6274001278
65	0.6264445112
66	0.62524717
67	0.6233084977
68	0.622100119
69	0.6215158655
70	0.6209009075
71	0.6198334946
72	0.61872	0.61273	0.6172739864
74	0.6153594839
75	0.6144973472
76	0.6134261795
77	0.6118483417
78	0.6114551605
79	0.6101238086
80	0.6080	0.601981	0.6081	0.599382	0.6082	0.598383	0.6083	0.597584	0.6084	0.596885	0.6085	0.595986	0.6086	0.594887	0.6087	0.593688	0.5988	0.592889	0.5989	0.590690	0.5990	0.5887462218
91	0.5872762749
92	0.5849459162
93	0.5840409367
94	0.582537919
95	0.5814606902
96	0.5799888491
97	0.5786696264
98	0.577005376
99	0.5754524386
100	0.5739136598
101	0.573327972
102	0.5725810345
103	0.571831248
104	0.569838531
105	0.5689526269
106	0.5670441042
107	0.5658623471
108	0.5650270091
109	0.563658262
110	0.5624607074
111	0.5610467108
112	0.5595572075
113	0.5586942884
114	0.5575302072
115	0.5566248041
116	0.5556356117	117	0.5549225118	118	0.5543695119	119	0.5531689120	120	0.552254121	0121	0.550701122	0122	0.549196063
123	0.5477635428
124	0.5471293674
125	0.546596235
126	0.5450119602
127	0.5438188393
128	0.5429282191
129	0.542322841
130	0.5413442621
131	0.539663964
132	0.5387247466
133	0.5381619186
134	0.5372464285
135	0.5365391363
136	0.5354002041
137	0.5345908139
138	0.5341352416
139	0.5330536392
140	0.532215483
141	0.5312952418
142	0.5302611938
143	0.5292747821
144	0.5281975535
145	0.5266701754
146	0.5251445603
147	0.5238838263
148	0.5232135474
149	0.5222433684
150	0.5215413707
151	0.5206622801
152	0.51958197515153	0.51853439715154	0.51760843415155	0.51657506115156	0.51575620015157	0.51479861315158	0.51401612215159	0.51309907216160	0.51245585616161	0.51151492216162	0.51041250916163	0.50987815116164	0.50925838
165	0.5088507947
166	0.5188284485
167	0.5180763858
168	0.5171419994
169	0.5165253701
170	0.515577278
171	0.5143694684
172	0.5137700584
173	0.5132342964
174	0.5120809755
175	0.5114301396
176	0.5102815607
177	0.5094416512
178	0.507868793
179	0.5067093178
180	0.5059384676
181	0.5047432182
182	0.5042637819
183	0.5035332264
184	0.5026841858
185	0.5015776966
186	0.500972306
187	0.5003128653
188	0.499637111
189	0.4989817682
190	0.4980509623
191	0.4971311802
192	0.496607019
193	0.4961453164
194	0.4954562561
195	0.4945600028
196	0.4937571828
197	0.4930769529
198	0.4924354238
199	0.4918414056
82

